RESTAURANT_NAME,CITY,AREA,RATING,RATING_COUNT,CUSINE,Online_Order,TABLE_RESERVATION,FAMOUS_FOOD
"Capital Curry","Delhi NCR",Jasola,3.5,82,"North Indian, Mughlai",Yes,No,"Paneer Makhani , Butter Chicken , Chicken Biryani , Dal Makhani"
"The Baker's Street",Kolkata,Ichapur,0,0,Bakery,No,No,NULL
"Chik Plaza","Delhi NCR","Sector 72, Noida",0,0,"Raw Meats, Fast Food",No,No,NULL
"Balaji Parantha Corner","Delhi NCR","Laxmi Nagar",3.4,42,"North Indian",Yes,No,NULL
"Vasant Fresh Juice & Snacks Centre",Mumbai,"Kandivali East",0,0,"Fast Food, Juices",Yes,No,NULL
"Breads Alone","Delhi NCR","Sector 50, Gurgaon",3.8,72,"Fast Food, Desserts, Beverages",Yes,No,"Sandwich , Salad , Burgers , Pizza , Cheesecake"
"A-One Hazi Biryani",Kolkata,Tollygunge,3.6,31,Biryani,Yes,No,NULL
"Rapido 18 Fast Food","Delhi NCR","Sector 18, Noida",0,0,Chinese,Yes,No,NULL
"Shudh Vaishno Rasoi","Delhi NCR","Sector 37, Gurgaon",3.6,29,"North Indian",Yes,No,NULL
"Prema Vilas",Kolkata,"Lake Market Area",3.8,352,"South Indian",No,No,"Filtered Coffee , Rava Dosa , Upma , Rasam Vada , Masala Dosa , Dhania Dosa , Cheese Sada Dosa"
"Grill N Veg","Delhi NCR","Mayur Vihar Phase 1",0,0,"Sandwich, Pizza, Burger, Beverages",No,No,NULL
"Woody's Grill","Delhi NCR","West Delhi",4.4,98,"Continental, Biryani, Kebab, Rolls, Roast Chicken, Asian, Fast Food, Italian",Yes,No,"Chicken Tikka , Butter Chicken , Pasta , Noodle , Pizza , Dal Makhani , Malai Tikka"
"La Pino'z Pizza","Delhi NCR","Sector 31, Gurgaon",3.7,282,"Pizza, Fast Food",Yes,No,"Pizza , Mojito , Peanut Butter Milkshake , Mixed Sauce Pasta , Iced Tea , Cheesy Garlic Bread , White Sauce Pasta"
"Chinese Hub","Delhi NCR",Loni,0,0,"Fast Food",No,No,NULL
Coastal,Mumbai,"Malad West",3.6,96,"Chinese, North Indian, Seafood, Mughlai",Yes,No,"Bombil Fry , Chicken Biryani"
"Raj's Delight",Mumbai,CBD-Belapur,3.3,14,"North Indian, Chinese",Yes,No,NULL
"Bangla Food Point","Delhi NCR","Sector 53, Noida",3.4,18,"Bengali, North Indian",No,No,NULL
"Lajawab Restaurant","Delhi NCR","Sector 44, Noida",3.4,42,"North Indian, Chinese, Mughlai",Yes,No,NULL
"Dev Kathi Rolls & Momos","Delhi NCR","Sector 72, Noida",0,0,"Rolls, Momos",No,No,NULL
"Malabar Foods","Delhi NCR","Mayur Vihar Phase 2",3.3,136,"North Indian",Yes,No,"Mixed Vegetables , Laccha Paratha , Shahi Paneer , Butter Naan , Tandoori Chicken"
ZASTY,"Delhi NCR","Gurgaon (Gurugram)",3.4,30,"North Indian",No,No,"Butter Chicken , Tandoori Momos , Paneer Pasanda"
"Adros Kitchen",Kolkata,Kasba,0,0,"Chinese, North Indian",Yes,No,NULL
"Brothers Bakery","Delhi NCR","Sector 37, Gurgaon",2.9,8,"Bakery, Fast Food, Chinese",Yes,No,NULL
"Manish Fast Food Corner","Delhi NCR","Sector 62, Noida",0,0,Chinese,No,No,NULL
"Tikka Express meets Chennai Express","Delhi NCR","Sector 72, Noida",3.8,229,"Chinese, North Indian, South Indian",Yes,No,"Butter Chicken , Chaap , Paneer Tikka , Murgh Lababdar , Dal Makhani , Panneer Butter Masala , Chicken Malai Tikka"
FoodPost,Mumbai,Powai,4,28,"North Indian, Chinese",Yes,No,"Vegetable Biryani , Paneer Lababdar , Kadhai Paneer , Chilli Paneer"
"Momo Mania",Kolkata,Barasat,3.5,19,"Momos, Beverages",Yes,No,NULL
"The Panda Factory","Delhi NCR","West Delhi",3.4,16,"North Indian",Yes,No,NULL
"Meenu Di Kitchen","Delhi NCR",Mehrauli,0,0,"Fast Food, North Indian",No,No,NULL
"Deol Da Dhaba","Delhi NCR","Lawrence Road",3.5,39,"North Indian",Yes,No,NULL
"Billu's Hut","Delhi NCR","Netaji Subhash Place",4.2,2743,"Fast Food, Chinese, Beverages, Italian",Yes,No,"Oreo Shake , White Sauce Pasta , Punjabi Pasta , Club Sandwich , Mixed Sauce Pasta , Kit Kat Shake , Mojito"
"Tittli Cafe","Delhi NCR","Sector 53, Gurgaon",3.2,6,Cafe,No,No,NULL
"Rolls Hut","Delhi NCR","West Patel Nagar",2.6,293,"Fast Food, Rolls",Yes,No,"Rolls , Chicken Egg Roll , Veggie Roll , Soya Roll , Malai Chaap Roll"
"Limelight Restaurant & Bar",Kolkata,"Dalhousie BBD Bagh",3.3,75,"North Indian, Chinese, Continental",No,No,"Lime Soda , Chicken Stroganoff , Garlic Chicken , Chilli Chicken , Sandwich , Hakka Noodles"
"Anmol Bakery","Delhi NCR","Sector 22, Noida",0,0,"Bakery, Fast Food",No,No,NULL
"Cafe MMJ - Mumbai Meri Jaan",Mumbai,"Old Panvel",3.5,31,"Cafe, Fast Food, Chinese",Yes,No,NULL
"Trendz 0 The Lalit Mumbai",Mumbai,Chakala,3.5,79,Talianska,No,Yes,"Kulfi , Risotto , Tiramisu"
"Uncle Sams Chick-Inn","Delhi NCR","Sector 22, Dwarka",3.6,41,"Raw Meats, Fast Food, North Indian",Yes,No,NULL
"Wrappy Potter and The Prisoner Of Taste.","Delhi NCR",Pitampura,4,241,"Beverages, Fast Food, Sandwich, Wraps, Momos",Yes,No,"Chocolate Brownie Shake , White Sauce Pasta , Burgers , Chicken Tandoori Sandwich , Peri Peri French Fries , Tandoori Momos , Maggi"
"The Yummy Taste","Delhi NCR","Sector 62, Noida",3.1,4,"North Indian, Chinese",No,No,NULL
"Lokenath Hotel",Kolkata,"New Alipore",0,0,"North Indian, Bengali, Chinese",Yes,No,NULL
"Star Kitchen Restaurants & Tiffin Service","Delhi NCR","Sector 7, Dwarka",3.1,5,"North Indian",Yes,No,"Dal Tadka , Dal Chana , Dal Masoor , Dal Yellow"
"Shireen Restaurant","Delhi NCR",Mahipalpur,0,0,"North Indian, Chinese",No,No,NULL
"Grub Station","Delhi NCR","Sector 45, Gurgaon",3.9,54,"Fast Food, Burger, Sandwich, Salad, Continental",No,No,"Burgers , Salad , Pasta , Momos , Club Sandwich"
"Jumpin Beans",Mumbai,"Lower Parel",0,0,"Pizza, North Indian, Healthy Food",Yes,No,NULL
"Food Any Time","Delhi NCR",Rohini,3.2,36,"American, Mexican, Italian, Continental",Yes,No,"Salad , Pizza"
"Dipu's Fast Food",Kolkata,Kankurgachi,3.3,14,"North Indian, Mughlai, Chinese, Rolls",Yes,No,NULL
"Delhi Food Junction","Delhi NCR","Lado Sarai",0,0,"North Indian",No,No,NULL
"UP Wala Tadka","Delhi NCR","Crossing Republik",3,11,"North Indian, Street Food",Yes,No,NULL
"Singh Chicken Corner","Delhi NCR","West Patel Nagar",2.7,48,"North Indian, Mughlai",Yes,No,NULL
"Tandoori Town","Delhi NCR","Raj Nagar",0,0,"North Indian, Chinese",No,No,NULL
"Coffee & Bites","Delhi NCR","Vijay Nagar",3.2,62,"Fast Food",Yes,No,"Burgers , Coffee Hazelnut , White Sauce Pasta"
"Madras Coffee House","Delhi NCR","Connaught Place",2,304,"North Indian, South Indian, Chinese",No,No,"Filtered Coffee , Masala Dosa , Onion Uttapam , Vada Sambar , Thali , Curd Rice , South Indian Filter Coffee"
"Interval Chinese & Fastfood",Kolkata,Kalyani,0,0,"Chinese, Fast Food",Yes,No,NULL
"Mughal Flavour's",Mumbai,Kurla,2.5,135,"Mughlai, North Indian, Chinese",Yes,No,"Chicken Shawarama , Shawarma , Dal Gosht , Naan , Butter Chicken , Roti , Caramel Custard"
"Sita Ram Diwan Chand","Delhi NCR",Paharganj,4.2,3146,"North Indian",Yes,No,"Chole Bhature , Chhole Bhature , Lassi , Chana Masala , Choley Bhature , Chole Kulche , Chana Bhatura"
"Shere Punjab","Delhi NCR","MG Road, Gurgaon",3.3,21,"North Indian",Yes,No,"Shahi Paneer , Butter Chicken , Mutton Biryani , Punjabi Rajma"
"Maa Ki Rasoi","Delhi NCR","Rajinder Nagar",3.2,7,"Maharashtrian, South Indian",No,No,NULL
"New Embassy",Kolkata,Chowringhee,3.5,131,Chinese,No,No,"Noodle , Chilli Chicken , Momos , Hakka Chowmein , Clear Soup , Schezwan Chicken , Mixed Fried Rice"
"Harish Pastry Shop","Delhi NCR",Shahdara,0,0,"Bakery, Desserts",Yes,No,"Oreo Cake , Blackforest Cake , Butterscotch Cake , Pineapple Cake"
"Prerna Family Restaurant","Delhi NCR","Sector 22, Noida",3,4,"North Indian, Chinese",No,No,NULL
"Chhotu Kolkata Kathi Roll","Delhi NCR",Alaknanda,0,0,Rolls,No,No,NULL
"Zaika Hub",Mumbai,Sanpada,3.6,147,"North Indian, Biryani, Chinese",Yes,No,"Dum Biryani , Seekh Kebab , Mutton Seekh , Roti , Noodle , Paneer Tikka Masala"
"South Indian Point","Delhi NCR","Lawrence Road",3.2,14,"South Indian",Yes,No,NULL
"Ekto9 - True Oriental Flavours","Delhi NCR","Gurgaon (Gurugram)",4.3,96,Asian,Yes,No,"Sushi , Bang Bang Chicken , Chilli Paneer , Crispy Chicken , Fried Rice , Hakka Noodles , Chilli Chicken"
"F5 Corner",Mumbai,"Malad West",3.5,25,"Fast Food",Yes,No,NULL
D-Den,Kolkata,"New Market Area",3.6,348,"Cafe, Fast Food",No,No,"Noodle , Momos , Pizza , Pasta"
"Spesh Food","Delhi NCR","Kirti Nagar",0,0,"South Indian",Yes,No,NULL
"Tanishka Chicken Corner","Delhi NCR","Mukherjee Nagar",0,0,Mughlai,No,No,NULL
"Philco Bakery","Delhi NCR",NIT,3.7,110,"Bakery, Fast Food, Chinese, Pizza",Yes,No,"Rolls , Cheese Patty , Kathi Roll"
"Kafe Mitro","Delhi NCR","Sector 7, Dwarka",3.2,21,"North Indian, Chinese, Continental",No,Yes,NULL
"Bhagat Ji Sweets","Delhi NCR","Shastri Nagar",3.1,7,"Mithai, Street Food",Yes,No,"Sandesh , Khas Khas Burfi , Khoya Roll , Mathura Peda"
"Pampa Fast Food centre",Kolkata,Kalyani,0,0,"Chinese, Street Food",Yes,No,NULL
"Bhuri Bhoj Restaurant",Kolkata,Shibpur,3.3,40,"Bengali, Chinese",No,No,NULL
"Gupta's Rasoi","Delhi NCR","Sector 37, Gurgaon",3.4,149,"North Indian, South Indian, Street Food",No,No,Chaat
PePizza,"Delhi NCR","Gurgaon (Gurugram)",2.6,278,Pizza,Yes,No,"Chocolate Pizza , Seafood Pizza , Florentine Pizza , Pepperoni Pizza , Butter Chicken Pizza , Sea Food , Bbq Chicken Pizza"
"Balsai Hospitalities","Delhi NCR","Sector 63, Noida",0,0,"Beverages, Biryani, North Indian, South Indian",No,No,NULL
"Real Food of Delhi","Delhi NCR","Sector 63, Noida",3.6,74,"North Indian, Chinese",Yes,No,"Thali , Butter Chicken , Biryani , Dal Makhani"
"Southern Spice Rootz","Delhi NCR","Tilak Nagar",3.6,110,"South Indian, Chinese, North Indian",Yes,No,"Vada , American Delight Dosa , Chicken Lollipop , Clear Soup , Masala Dosa"
"Cafe Limelight","Delhi NCR","Sector 41, Noida",3.8,115,"North Indian, Chinese, Rolls",No,No,"Pasta , Chicken Sandwiches , Pizza , Virgin Mojito , Chaap , Fries , Burgers"
"Sam Ventures","Delhi NCR",Shakarpur,0,0,"Fast Food, Coffee",No,No,NULL
"Chinese Roll Corner","Delhi NCR",Janakpuri,0,0,Chinese,No,No,NULL
"Roshni Food Point",Mumbai,Fort,3.6,27,"North Indian, Fast Food, Parsi",Yes,No,NULL
"Punjab Di Hatti","Delhi NCR","Dilshad Garden",0,0,"North Indian",Yes,No,NULL
Gulati,"Delhi NCR","Pandara Road Market",4.4,6191,"North Indian, Mughlai, Kebab",Yes,No,"Butter Chicken , Dal Makhani , Handi Biryani , Palak Kofta , Kastoori Kebab , Keema Naan , Chaach"
"Guddu Ji Malai Chaap Waale","Delhi NCR","Shastri Nagar",3,4,"North Indian, Rolls",No,No,NULL
"The French Loaf",Kolkata,Elgin,3.8,370,"Bakery, Desserts",No,No,"Sandwich , Salad , Coffee , Chocolate Eclair , Apple Pie , Corn Puff , Pasta"
"Pizza Club","Delhi NCR","Uttam Nagar",3.7,41,"Pizza, Fast Food",Yes,No,Pizza
"Ideal Bytes Ice Cream Parlour",Mumbai,"Mira Road",3.7,72,"Ice Cream, Fast Food",Yes,No,"Gadbad Ice Cream , Tiramisu , Faluda , Burgers , Carrot Halwa"
"Balaji Idli House",Mumbai,"Kandivali West",3.5,231,"South Indian",No,No,"Medu Vada , Thali , Pav Bhaji Dosa , Uttapam , Appam , Butter Idli , Masala Dosa"
"Hotel Krishna Sagar","Delhi NCR","Shastri Nagar",3,9,"Chinese, Fast Food, North Indian, South Indian",Yes,No,NULL
"Gupta Rasoi","Delhi NCR","Nehru Place",3.6,35,"Chinese, North Indian",Yes,No,"Dal Makhani"
"Tea And Tiffin",Kolkata,"Kona Exp Way",0,0,Bengali,No,No,NULL
"Moonlight Sonata",Kolkata,Dhakuria,3.5,104,"Chinese, North Indian",Yes,No,"Chicken Pakora , Noodle , Fried Rice Chicken , Schezwan Rice , Spring Chicken , Lime Soda , Garlic Chicken"
"Diet Tailor","Delhi NCR",Rohini,0,0,"Healthy Food, Fast Food, Beverages",No,No,NULL
"Dada Ka Dhaba","Delhi NCR","R K Puram",3.5,26,"North Indian",Yes,No,NULL
Fusion,"Delhi NCR","Malviya Nagar",0,0,"North Indian, Momos",No,No,NULL
Locale,"Delhi NCR",Vaishali,3.2,6,"Finger Food",No,No,NULL
"Shree Ram Bhojnalaya","Delhi NCR","Mukherjee Nagar",0,0,"North Indian",No,No,NULL
"Utsav Kitchen",Mumbai,"Ghodbunder Road",3.9,776,"North Indian, Chinese, Biryani, Kebab, Mughlai",Yes,No,"Pav Bhaji , Pasta , Nachos , Bruschettas , Dal Kichadi , Cheese Corn Balls , Pizza"
"RTS Food Corner",Mumbai,"Vasant Vihar, Thane West",3.4,21,Kerala,Yes,No,NULL
"Sweet Cravings","Delhi NCR","Green Park",0,0,Bakery,No,No,NULL
"Just Cakez","Delhi NCR","Sector 29, Noida",0,0,Bakery,Yes,No,NULL
"Kaynat Haji Biryani Centre",Kolkata,Chandannagar,3,0,Biryani,Yes,No,NULL
"The World Pizza Hub","Delhi NCR","Badarpur Border",3.3,13,"Pizza, Fast Food",Yes,No,NULL
"Munchery Kitchen","Delhi NCR",Rohini,0,0,"Fast Food, Chinese",Yes,No,NULL
"Chennai Express",Kolkata,"Ajoy Nagar",3,4,"South Indian, Street Food",Yes,No,NULL
"Pizzato Brothers","Delhi NCR","Moti Nagar",3.6,35,"Pizza, Italian",Yes,No,NULL
"Thali Meals","Delhi NCR","Malviya Nagar",3.5,31,"North Indian",Yes,No,NULL
Patliputra,"Delhi NCR","Lado Sarai",0,0,"North Indian",No,No,NULL
"Say Cheese","Delhi NCR","Yusuf Sarai",3.5,191,"Fast Food",Yes,No,"Sandwich , Poha , Pasta , Iced Tea , Burgers , Veg Burger , Pizza"
"Amritsari Kulcha Junction",Mumbai,Mahakali,3.7,680,"North Indian",Yes,No,"Chole , Lassi , Chaach , Paneer Kulcha , Amritsari Aloo Kulcha , Chaat , Raita"
"Punjabi Angithi","Delhi NCR","Paschim Vihar",4.5,3904,"North Indian, Chinese",Yes,Yes,"Dal Makhani , Chaap , Paneer Tikka , Momos , Shahi Paneer , Rolls , Paneer Lababdar"
"New Royal Biryani",Kolkata,"College Street",3.2,137,"Biryani, North Indian",Yes,No,"Mutton Biryani , Chicken Chaap , Chicken Biryani"
"Bikaner Misthan Bhandar","Delhi NCR",NIT,3.6,140,"Mithai, Street Food",No,No,NULL
"Red Pepper","Delhi NCR","Delhi Cantt.",3.8,99,"North Indian, Chinese",Yes,No,NULL
Chinese,"Delhi NCR","DLF Cyber City",0,0,"Chinese, Continental",No,No,NULL
"Cake Time","Delhi NCR",Kalkaji,0,0,"Bakery, Fast Food",No,No,NULL
"Bhagat Ji Sweets","Delhi NCR","Beta 1",3.2,11,Mithai,No,No,NULL
"Standard Hotel & Restaurant",Kolkata,Chinsura,0,0,"North Indian, Chinese, Continental",No,No,NULL
"Talokar Bakers",Mumbai,Kharghar,3.6,43,Bakery,Yes,No,NULL
"34 Street Lane","Delhi NCR",Rohini,0,0,Rolls,No,No,NULL
"Pre Pizza","Delhi NCR",NIT,0,0,Pizza,Yes,No,NULL
"N.S Food Corner","Delhi NCR","Lado Sarai",0,0,"North Indian",No,No,NULL
"Papa Punjab",Mumbai,"Goregaon West",3.6,149,"North Indian, Chinese",Yes,No,"Chicken Tariwala , Lassi , Chicken Biryani , Butter Chicken , Paratha , Tandoori Chicken , Chicken Tikka"
"Hakka Village Chinese Restaurant",Kolkata,Tangra,3.3,42,Chinese,Yes,No,NULL
"Sony Aap ki Rasoi","Delhi NCR","Sector 39, Gurgaon",0,0,"North Indian, Street Food, Chinese",Yes,No,NULL
Ambrozia,"Delhi NCR","Sector 72, Noida",0,0,"North Indian, Mughlai",Yes,No,NULL
"Appayan Restaurant",Kolkata,Rishra,3.4,52,"North Indian, Chinese",Yes,No,NULL
"Cheer Up Point Momos","Delhi NCR",Saket,3.5,21,Momos,Yes,No,NULL
"Vinayak Foods",Mumbai,"Kandivali West",3.4,14,"Chinese, North Indian",Yes,No,NULL
"Come Home","Delhi NCR",Safdarjung,3.4,20,"North Eastern, Chinese",Yes,No,NULL
"Henry's Cafe","Delhi NCR",Khanpur,3.4,33,"North Indian, Fast Food",Yes,No,NULL
"The Grammar Room","Delhi NCR",Mehrauli,4.3,834,Cafe,Yes,No,"Coffee , Fries , Cocktails , Hot Chocolate , Chicken Sandwich , Wine , Salad"
"Tandoori Lounge","Delhi NCR","Sector 50, Gurgaon",3.5,43,"North Indian, Chinese",Yes,No,"Paneer Lababdar , Naan"
"Continental Dhaba","Delhi NCR","Kailash Colony",3.7,168,"North Indian",No,No,"Rolls , Butter Chicken , Chicken Tikka Roll , Dal Makhani , Rajma Chawal , Tandoori Chicken , Mutton Roll"
"Brijwasi Fast Food","Delhi NCR","Qutab Institutional Area",0,0,"North Indian",No,No,NULL
Shan-E-Punjab,"Delhi NCR",Ballabhgarh,0,0,"North Indian",No,No,NULL
"The Treat",Kolkata,Chinsura,0,0,"Mishti, South Indian, Street Food, Desserts",Yes,No,NULL
"Maame Di Hatti","Delhi NCR","Karol Bagh",3.3,8,"North Indian",No,No,NULL
"Angeethi Chaap","Delhi NCR","Dilshad Garden",0,0,"Rolls, North Indian",No,No,NULL
"Decent Restaurant",Mumbai,Vikhroli,3.5,162,"Mughlai, North Indian, Chinese",Yes,No,"Roti , Balti Murgh , Crispy Chicken , Mutton Biryani , Butter Chicken , Chicken Biryani , Chicken Lollipop"
"Rocking Rolls","Delhi NCR","DLF Phase 3",0,0,"Rolls, Chinese, Lebanese, Beverages",No,No,NULL
"Suvidha Vegetarian","Delhi NCR",Daryaganj,3.9,196,"North Indian",Yes,No,"Dal Makhani , Shahi Paneer , Malai Kofta , Palak Paneer , Naan , Dal Tadka , Matar Paneer"
"Aagri Koli Mejwani",Mumbai,Ulwe,3.4,17,"North Indian",Yes,No,NULL
"Kitchen 27",Kolkata,Serampore,3.5,99,"North Indian, South Indian, Chinese, Street Food, Fast Food",No,No,"Chaat , Thali , Butter Masala Dosa"
"Pahaadi Prantha Co.","Delhi NCR","Model Town 1",3.4,14,"North Indian",Yes,No,NULL
"Cafe Red","Delhi NCR","Shahpur Jat",3.8,373,"Cafe, Italian",Yes,No,"Coffee , Pasta , Pizza , Cappuccino , Club Sandwich , Ratatouille , Grilled Chicken Salad"
"Shama Shahi Chicken Corner","Delhi NCR",Mahipalpur,0,0,Mughlai,No,No,NULL
Masque,Mumbai,Mahalaxmi,4.3,369,"Modern Indian",No,Yes,"Cocktails , Wine , Salad , Lobster , Chips , Coffee , Mocktails"
"The Crazy Chef","Delhi NCR","Rana Pratap Bagh",3.6,70,"Fast Food, Momos",Yes,No,"Tandoori Momos , Gravy Momo , Masala Fries , Chicken Lollipop , Afghani Momos , Cheese Maggi , Paneer Momos"
"Stun the Sun",Kolkata,"Camac Street Area",3.4,245,"Continental, Mexican, Italian, Chinese",Yes,No,"Jacked Potato , Pasta , Mexican Rice , Pizza , Purple Rain , Nachos"
"Bikano Chat Cafe","Delhi NCR","Delhi Cantt.",3.6,20,"South Indian, North Indian",No,No,NULL
"Game of Kebabs","Delhi NCR",Rohini,3.2,14,"Mughlai, Kebab, North Indian, Biryani, Rolls",Yes,No,NULL
Cake,"Delhi NCR","Sohna Road",0,0,Bakery,No,No,NULL
"New Parathe Wali Gali","Delhi NCR","Mayur Vihar Phase 1",3.5,37,"North Indian, Fast Food",Yes,No,NULL
"New Dhaba Taste",Kolkata,"Bara Bazar",0,0,"Biryani, North Indian",No,No,NULL
"Dhaba Terminal 51","Delhi NCR","Sector 12, Faridabad",2.9,99,"North Indian, Chinese",Yes,No,NULL
"Vignesh Fast Food","Delhi NCR",Naraina,3.4,14,"Chinese, South Indian",No,No,NULL
"Fitbuds Kitchen","Delhi NCR","Sector 72, Noida",0,0,"Fast Food",No,No,NULL
Cakebak,"Delhi NCR","Sector 61, Noida",3.3,12,"Bakery, Desserts",No,No,NULL
"Shri Annapurna Punjabi Dine",Mumbai,Girgaum,3.5,202,"North Indian, Chinese",Yes,No,"Pav Bhaji , Thali , Paneer Tikka Masala , Naan"
"Sata Paan","Delhi NCR",Janakpuri,0,0,Paan,No,No,NULL
"Mughal Darbar","Delhi NCR","Punjabi Bagh",3.9,305,"North Indian, Mughlai, Chinese",Yes,No,"Butter Chicken , Dal Makhani , Shehnai Chicken , Keema Naan , Paneer Tikka , Butter Naan , Reshmi Kebab"
"Kolhapuri Pehelwan And Snack Center",Mumbai,Airoli,0,0,"Street Food",No,No,NULL
"The Burger Guru","Delhi NCR","Malviya Nagar",0,0,"Fast Food",Yes,No,NULL
"Shree Ram Dhaba",Kolkata,"Bara Bazar",3.7,265,"North Indian",Yes,No,"Shahi Paneer"
"Bahubali Cuisine","Delhi NCR","West Patel Nagar",0,0,"South Indian, North Indian, Beverages",No,No,NULL
"Chinese Hub","Delhi NCR","Uttam Nagar",3.1,31,Chinese,Yes,No,NULL
"Meerut Wale","Delhi NCR",Azadpur,3.5,74,"Mithai, Street Food",Yes,No,NULL
Delhi-94,"Delhi NCR",Shahdara,3.1,6,"North Indian, South Indian, Chinese",No,No,NULL
"Sagar Restaurant","Delhi NCR",NIT,3.4,20,"North Indian",Yes,No,NULL
"Narula Lunch","Delhi NCR",Manesar,0,0,"North Indian",No,No,NULL
"Pizza Hut","Delhi NCR","Sector 56, Gurgaon",3.7,508,"Italian, Pizza",Yes,No,"Chocolava Cake , Pasta , Chicken Pepperoni , Cheesy Pizza , Lava Cake , Cheesy Garlic Bread"
"Roshini Fast Food & Dosa Corner",Mumbai,"Kopar Khairane",3.4,12,"South Indian, North Indian, Street Food",Yes,No,NULL
"Tullis Bakers","Delhi NCR",Palam,0,0,Bakery,No,No,NULL
"Daau's Pizza & Burger Point","Delhi NCR","Sector 83, Gurgaon (Gurugram)",3.7,61,"Fast Food",No,No,NULL
iDabba,"Delhi NCR","Sector 39, Gurgaon",3.3,30,"North Indian",Yes,No,NULL
Paramparaa,Kolkata,Bangur,3.3,135,"North Indian, Chinese",Yes,No,"Chicken Bharta , Chicken Kasha , Garlic Chicken , Gravy Chowmein"
"Hotel 1 love lock",Kolkata,Ballygunge,0,0,"North Indian, Chinese",No,No,NULL
"Guru Nanak Punjabi Dhaba","Delhi NCR",Kalkaji,0,0,"North Indian",No,No,NULL
"Olympia Coffee House",Mumbai,Colaba,4,1012,"Mughlai, North Indian, Seafood",No,No,"Chicken Biryani , Tea , Keema Pav , Caramel Custard , Chai , Bun Maskas , Tandoori Chicken"
"Pizza Crunch","Delhi NCR","Tilak Nagar",3.4,34,Pizza,Yes,No,NULL
"Om Hotel","Delhi NCR",Jangpura,3.7,276,"North Indian, Mughlai",Yes,No,"Butter Chicken , Dal Makhani , Paneer Tikka , Mushroom Tikka , Malai Kofta , Tandoori Roti , Shahi Paneer"
"Fat Albert","Delhi NCR","Sector 12, Dwarka",0,0,"North Indian",Yes,No,NULL
"Saybeen Hotel",Mumbai,"Kandivali West",3.1,63,"Chinese, North Indian",No,No,NULL
"Delight Cafe","Delhi NCR","Mohan Nagar",0,0,"Fast Food, North Indian",No,No,NULL
"Haveli Restaurant","Delhi NCR","Old Railway Road",3,5,"North Indian, Chinese",Yes,No,NULL
"The Coffee Bean & Tea Leaf",Kolkata,Ballygunge,4,563,"Cafe, Beverages",Yes,No,"Coffee , Sandwich , Cheesecake , Cappuccino , Hot Chocolate , Latte , Blueberry Muffin"
"Sanjay  Restaurant",Mumbai,Chembur,3.5,50,"North Indian, Mughlai",Yes,No,NULL
Dawat,"Delhi NCR","Lodhi Colony",3.5,104,"North Indian, Chinese",No,No,"Butter Chicken , Tandoori Chicken , Roti , Dal Makhani , Shahi Paneer , Kadhai Paneer"
"The Curry Men","Delhi NCR","Sector 15, Noida",3.1,10,"North Indian",No,No,NULL
"The Pizza House","Delhi NCR",Rohini,0,0,"Fast Food",No,No,NULL
"Asli Zaika Chicken Biryani","Delhi NCR",Saket,0,0,"North Indian, Biryani",Yes,No,NULL
"South Delhi Juice Corner","Delhi NCR",Khanpur,0,0,Juices,No,No,NULL
"Singh Ching","Delhi NCR","Delhi University-GTB Nagar",3.9,706,"North Indian, Chinese, Mughlai",Yes,Yes,"Tandoori Momos , Dal Makhani , Butter Naan , Butter Chicken , Masala Momo , Tawa Chicken , Noodle"
"Mohini Fast Food Centre",Kolkata,Baranagar,0,0,Chinese,No,No,NULL
"The Curry House @ Viskon Rooms","Delhi NCR","Sushant Lok",0,0,"North Indian, Chinese",Yes,No,"Fried Rice , Shahi Paneer , Chilli Paneer , Dal Yellow"
"Terminal 86","Delhi NCR","Sector 81, Faridabad",3.5,503,"North Indian, Chinese",Yes,No,"Dal Makhani , Paratha , Roti , Butter Chicken , Biryani"
"Music & Mountains - Hillside Cafe","Delhi NCR","Greater Kailash 1 (GK1)",4.4,3222,"Cafe, Italian, Continental, Fast Food, Salad",No,Yes,"Pizza , Pasta , Coffee , Burgers , Wine , Salad , Fries"
"Foody Uncle","Delhi NCR","Sector 35, Faridabad",0,0,"North Indian, Chinese",Yes,No,NULL
"Aunty's Kitchen","Delhi NCR",Daryaganj,3.3,9,"North Indian",No,No,NULL
"Sweet Corn",Kolkata,"Lake Town",3,55,"Chinese, North Indian",Yes,No,"Tandoori Chicken"
"Maharsh-Ethiopian Cafe & Bites",Mumbai,Juhu,4,146,"Ethiopian, Continental",No,No,"Popcorn , Thali , Injera Bread , Beer , Fries"
Chaskaa,"Delhi NCR","Anand Vihar",3.9,502,"Chinese, North Indian, Italian, Kebab, Momos",Yes,No,"Butter Chicken , Tandoori Momos , Dal Makhani , Butter Naan , Biryani , Shahi Paneer , Mutton Nihari"
"Mom's Chinese Kitchen","Delhi NCR","Sector 20, Dwarka",0,0,Chinese,No,No,NULL
Riso,Mumbai,"Ghatkopar East",0,0,"Italian, Mexican, Lebanese",No,No,"Pasta , Nachos , Mudcake , Mocktails , Brownie , Garlic Bread , Risotto"
"Masala Factory","Delhi NCR","Sector 62, Noida",3.2,65,"North Indian, Street Food",Yes,No,NULL
Hindmata,Mumbai,Tardeo,3.8,183,"Chinese, North Indian, South Indian, Fast Food",Yes,No,"Dal Tadka , Paneer Lollipop , Idli , Paneer Tikka Masala , Panneer Butter Masala , Hyderabadi Biryani , Butter Naan"
