RESTAURANT_NAME,CITY,AREA,RATING,RATING_COUNT,CUSINE,Online_Order,TABLE_RESERVATION,FAMOUS_FOOD
"Sesame Street Wok Dis Way","Delhi NCR","Shastri Nagar",0,0,"Chinese, Fast Food",No,No,NULL
"Tingly Vingly",Mumbai,"Lower Parel",3.6,32,"Chinese, Fast Food, Beverages",Yes,No,NULL
"The Royal Spice",Kolkata,Sodepur,3.4,133,"North Indian, Chinese, Continental, Italian",Yes,Yes,"Mocktails , Hakka Noodles"
"Park Balluchi","Delhi NCR","Sector 72, Noida",4,505,"Mughlai, North Indian, Chinese",Yes,No,"Dal Makhani , Butter Chicken , Paneer Lababdar , Malai Kofta , Murgh Makhanwala , Pizza , Biryani"
"Vaishu's Noodles","Delhi NCR","Sector 57, Gurgaon",0,0,Chinese,No,No,NULL
"Jai Mata Di Fast Food Corner","Delhi NCR","Chander Nagar, Delhi",0,0,"North Indian, Chinese, Fast Food",No,No,NULL
"Omelettes A Multi Cuisine Restaurant","Delhi NCR","Rajendra Place",3.6,301,"Fast Food, North Indian, Chinese",Yes,No,"Butter Chicken , Biryani , Sandwich , Chicken Tikka , Omelette , Pizza , Chicken Chowmein"
"Pahalwan Da Dhaba","Delhi NCR","Old Railway Road",3.3,16,"North Indian",No,No,NULL
"Shree Bikaner Sweets","Delhi NCR","New Friends Colony",0,0,"Fast Food, Mithai",No,No,NULL
Lakeside,Mumbai,Nalasopara,3.7,324,"North Indian, Chinese, Seafood, Mughlai",No,No,"Chicken Tikka Biryani , Butter Chicken"
Haldiram's,"Delhi NCR","Connaught Place",4.1,2076,"Mithai, North Indian, Street Food, Chinese, South Indian",No,No,"Raj Kachori , Pav Bhaji , Chole Bhature , Thali , Chaat , Rasmalai , Lassi"
"Noorani Restaurant",Mumbai,Mumbra,3.6,79,"North Indian, Chinese, Mughlai, Fast Food",No,No,NULL
"Prince Misthaan cafe","Delhi NCR",Khanpur,3.5,35,"North Indian, Chinese, South Indian",Yes,No,NULL
"A K Foods","Delhi NCR","Crossing Republik",3.3,11,"North Indian, Fast Food",No,No,NULL
"The Tasty Bakers & Confectioners","Delhi NCR","Sector 72, Noida",3.8,107,"Bakery, Fast Food",Yes,No,Cupcake
"Classic Snacks",Kolkata,Baguihati,2.7,31,"Street Food, North Indian",No,No,NULL
"Tobasco Kitchen","Delhi NCR","DLF Phase 3",3.6,91,"Fast Food, Pizza",Yes,No,"Chicken Fries , Pasta , Chicken Pizza"
"Blossom Food Plaza",Kolkata,Liluah,3,144,"North Indian, Chinese",No,No,"Chicken Butter Masala"
"The Courtyard Cafe","Delhi NCR","Sector 125, Noida",4,227,"Chinese, Continental, North Indian",Yes,No,"Pasta , Pizza , Momos , Hakka Noodles , Coffee Hazelnut , Sandwich , Chilli Mushroom"
"Green Pepper",Kolkata,Belur,3.6,74,"Chinese, North Indian",Yes,No,NULL
"Urban Tandoor","Delhi NCR","Sector 31, Gurgaon",4.2,229,"North Indian",Yes,No,"Paneer Tikka , Biryani , Soya Chaap Tikka , Paratha , Roti , Thali , Salad"
"Chobdar Express","Delhi NCR","Sector 7, Dwarka",0,0,"North Indian, Fast Food",No,No,NULL
"AanyaÃ¢â‚¬â„¢s Amritsari Nutri Kulcha","Delhi NCR","Sector 56, Gurgaon",3.5,15,"North Indian",No,No,NULL
"Standard Ice Cream","Delhi NCR","Shalimar Bagh",4,112,"Desserts, Ice Cream",No,No,"Kulfi Faluda , Faluda Ice Cream , Badam Milk"
Foodiejuana,"Delhi NCR","Tughlakabad Institutional Area",0,0,"North Indian",No,No,NULL
"Creamy Nuts",Mumbai,Nerul,3.3,12,"Fast Food, Beverages",Yes,No,NULL
"Late Lateefe","Delhi NCR","Preet Vihar",3.5,118,"North Indian, Mughlai, Chinese",No,No,"Dal Makhani , Malai Chaap , Butter Chicken , Paneer Lababdar , Paneer Tikka , Maggi , Roti"
"Ishan Fast Food","Delhi NCR",Rohini,0,0,Momos,No,No,NULL
"Baby Got Bacon","Delhi NCR","Sector 51, Noida",3,8,"American, Italian",No,No,"Cheese Bacon Fries , Peri Peri Pepperoni Pizza , Hot Dog & Bbq Bacon"
Paratha's,Mumbai,Powai,3.5,186,"North Indian",Yes,No,"Dal Makhani , Paneer Parantha , Chole , Thali , Aloo Paratha , Methi Paratha , Cheese Paratha"
"New Bismillah Caterers",Mumbai,Airoli,3.4,84,"Biryani, Lebanese",No,No,"Chicken Biryani , Raita"
"Duke of Food","Delhi NCR","Malviya Nagar",0,0,"North Indian, Chinese, Rolls",Yes,No,NULL
"Kishan Cafe",Kolkata,"Bara Bazar",0,0,Cafe,No,No,NULL
"AMA Cafe","Delhi NCR","Majnu ka Tila",4.5,3817,"Cafe, Juices",No,No,"Coffee , Pancakes , Mudcake , Pizza , Fries , Sandwich , Apple Pie"
"New Delhi Metro Food Plaza","Delhi NCR","Chawri Bazar",0,0,"North Indian",Yes,No,NULL
"Peppers & Pipes","Delhi NCR",Pitampura,3.6,47,"Chinese, Italian, Continental",Yes,No,"Red Sauce Pasta , Chilli Potatoes , Chicken Momo , Butter Chicken"
"Hariram Sweets","Delhi NCR",Azadpur,2.8,6,"Mithai, Street Food",No,No,NULL
"Ashoka Bar & Restaurant",Kolkata,Esplanade,3.5,71,"North Indian, Mughlai, Chinese, Seafood",No,No,NULL
"New Royal Biryani",Kolkata,Behala,3.7,67,"Biryani, Mughlai",Yes,No,NULL
"Woods Cafe","Delhi NCR","Mohan Nagar",4.3,107,"Cafe, North Indian, Fast Food",Yes,No,"Spring Roll , Malai Chaap , Mojito , Paneer Tikka , Noodle , Raita , Mocktails"
"Just Coffee & More","Delhi NCR",Munirka,0,0,"Cafe, Sandwich",No,No,NULL
"Hot Spot Pizza","Delhi NCR","Raj Nagar",3.6,62,"Italian, Fast Food",Yes,No,NULL
"Chacha Chaudhary Junction","Delhi NCR",Rohini,0,0,Pizza,No,No,NULL
"Hari Om Bhojanalaya","Delhi NCR","Vijay Nagar",3.7,125,"North Indian",No,No,"Dal Makhani"
"AAPS 3SQUARE",Mumbai,Kamothe,0,0,"North Indian, Chinese",Yes,No,NULL
"R.K. Dhaba","Delhi NCR","Sector 72, Noida",0,0,"North Indian",No,No,NULL
"Crunchy Street","Delhi NCR","Raj Nagar",0,0,Bakery,No,No,"Blueberry , Mango , Strawberry"
"Tian - Asian Cuisine Studio - ITC Maurya","Delhi NCR",Chanakyapuri,4.1,275,"Asian, Japanese, Chinese, Thai, Momos",No,Yes,"Wine , Jasmine Rice , Prawn , Chocolate Cake , Mushroom Soup , Fish , Thai Green Curry"
"Khane Khas",Mumbai,"Pali Hill, Bandra West",4.3,710,"North Indian, Mughlai, Biryani, Rolls",Yes,No,"Rolls , Butter Chicken , Tandoori Chicken , Dal Makhani , Fish Tikka , Chicken Tikka Biryani , Kadhai Paneer"
"36 China Town","Delhi NCR",Rohini,3.4,23,Chinese,No,No,NULL
"The Albela's Kitchen",Kolkata,"Andul Road",3.2,12,"American, Chinese, Lebanese",No,No,NULL
"J J Delicacies","Delhi NCR","Sector 15, Gurgaon",0,0,"North Indian, South Indian, Fast Food",Yes,No,NULL
"The Roll Xpress","Delhi NCR",Shakarpur,3.3,65,"Fast Food, Chinese, Rolls, Momos",Yes,No,NULL
"Bang Bang Cafe","Delhi NCR",Janakpuri,3.1,4,"Fast Food, Beverages",No,No,NULL
"Sukoon - The Cafe","Delhi NCR","Sector 35, Faridabad",3.6,67,"Cafe, Fast Food",Yes,No,"Tea , Masala Chai , Coffee , Maggi , Burgers , White Sauce Pasta , Pink Sauce Pasta"
"1Tablespoon Italian Ice Cream",Mumbai,"Matunga East",3.4,15,"Desserts, Ice Cream",No,No,NULL
Banter,"Delhi NCR","Rajinder Nagar",4.8,622,"North Indian, Continental, Italian",No,Yes,"Mocktails , Dal Makhani , Butter Naan , Pasta , Margherita Pizza , Veggie Pizza , Iced Peach Tea"
"Duke Bar & Restaurant",Kolkata,"Chandni Chowk",2.9,59,"Chinese, North Indian",No,No,"Fish , Fried Rice , Chips"
"Chai Addaa",Kolkata,"Prince Anwar Shah Road",3.5,49,"Cafe, American, Fast Food",Yes,No,"Coffee , Pasta , Burgers"
"My Tasty Corn","Delhi NCR","Nehru Nagar",0,0,"Fast Food",No,No,NULL
"Badami Sweet & Restaurant","Delhi NCR","Zeta 1",3.7,125,"Mithai, North Indian",Yes,No,NULL
"Lazeez Chicken","Delhi NCR",Rohini,0,0,"North Indian, Chinese",No,No,NULL
Bhookkam,"Delhi NCR","Sainik Farms",3.4,12,"North Indian",Yes,No,NULL
"Neel Ki Biryani",Mumbai,Marol,0,0,Biryani,Yes,No,NULL
"Ganesh Bikanerwala","Delhi NCR","Ambedkar Road",3.5,26,"Mithai, Street Food",No,No,NULL
"Hungry Ninja","Delhi NCR","Kirti Nagar",0,0,Chinese,No,No,NULL
"Bhushan Cake Shop","Delhi NCR",Shahdara,0,0,Bakery,No,No,NULL
"Bengal Sweet Corner","Delhi NCR",Safdarjung,3.6,243,"North Indian, South Indian, Chinese, Street Food, Mithai",Yes,No,"Rasmalai , Chole , Gulab Jamun , Rasgulla , Handi Biryani , Chaat , Paneer Jalebi"
"Good Food Innovations LLP","Delhi NCR","Sector 63, Noida",0,0,"North Indian, South Indian, Chinese",No,No,NULL
"Ammeez Kitchen",Mumbai,Marol,3.2,6,Konkan,No,No,NULL
"Shahi Mahal Restaurant",Kolkata,Kidderpore,0,0,"North Indian",No,No,NULL
"South Delhi Chicken Corner","Delhi NCR","Sheikh Sarai",2.9,8,"North Indian, Chinese",Yes,No,NULL
"Sunny Sweets","Delhi NCR","DLF Phase 1",3.4,30,"Mithai, Street Food",No,No,NULL
"J V's Fried Chicken","Delhi NCR","Uttam Nagar",3.5,62,"Fast Food",Yes,No,NULL
"Barbeque Nation","Delhi NCR","Connaught Place",4.4,4748,"North Indian, Chinese, BBQ",No,Yes,"Kulfi , Fish , Biryani , Gulab Jamun , Paneer Tikka , Chicken Tikka , Brownie"
"I.H.O.B - Indian House of Biryani","Delhi NCR","Sector 110, Noida",3.2,92,"North Indian, Mughlai, Biryani",Yes,No,"Mutton Keema Biryani , Butter Chicken , Raita , Paneer Tikka , Chicken Tikka Biryani"
"Chinese Cuisine","Delhi NCR","Nehru Nagar",0,0,Chinese,No,No,NULL
"Cafe Istaa",Mumbai,Sion,4.1,1111,"Cafe, Desserts, Italian, Salad",No,No,"Pasta , Pizza , Burgers , Waffles , Coffee , Brownie , Jalapeno Poppers"
"Pepsi Snacks Bar",Kolkata,"New Market Area",3.4,29,"Street Food, Juices",No,No,"Chole Bhature , Lassi"
"Leafy Affaire",Kolkata,"Theatre Road",3.5,39,"Salad, Italian, Burmese, Mexican",Yes,No,"Mexican Salad"
"Masala Mix","Delhi NCR","Vasant Vihar",0,0,"Fast Food, North Indian",No,No,NULL
"Jugnu Chaap","Delhi NCR",Rohini,3.7,47,"Fast Food, North Indian",Yes,No,NULL
"Kitchens By SRR Masala",Mumbai,"Near Andheri East Station",0,0,Mangalorean,Yes,No,NULL
"Wake Up Cafe","Delhi NCR","Malviya Nagar",3.7,50,"Fast Food, Beverages",Yes,No,"Burgers , Salad , Cheese Sandwich"
"Royal Bakers","Delhi NCR",Nangloi,0,0,Bakery,No,No,NULL
"Bro Cake","Delhi NCR","DLF Phase 4",3.5,29,Bakery,No,No,NULL
"Noida Chinese Hut","Delhi NCR","Sector 45, Noida",0,0,"Chinese, Fast Food, Street Food",No,No,NULL
"Royal Fast Food Hub",Kolkata,Konnagar,0,0,"Fast Food",No,No,NULL
"New Raj Dairy","Delhi NCR","Krishna Nagar",3.6,20,"Bengali, North Indian",No,No,NULL
